filename,width,height,class,xmin,ymin,xmax,ymax
afghan-aerial02.jpg,970,615,sheep,113,134,146,164
afghan-aerial02.jpg,970,615,sheep,122,104,169,129
afghan-aerial02.jpg,970,615,sheep,114,207,148,240
afghan-aerial02.jpg,970,615,sheep,175,232,211,270
afghan-aerial02.jpg,970,615,sheep,207,252,249,281
afghan-aerial02.jpg,970,615,sheep,207,284,243,319
afghan-aerial02.jpg,970,615,sheep,244,290,283,330
afghan-aerial02.jpg,970,615,sheep,278,292,315,327
afghan-aerial02.jpg,970,615,sheep,253,263,296,297
afghan-aerial02.jpg,970,615,sheep,244,233,282,270
afghan-aerial02.jpg,970,615,sheep,209,211,244,243
afghan-aerial02.jpg,970,615,sheep,170,206,212,235
afghan-aerial02.jpg,970,615,sheep,157,177,192,208
afghan-aerial02.jpg,970,615,sheep,176,101,205,134
afghan-aerial02.jpg,970,615,sheep,178,133,214,162
afghan-aerial02.jpg,970,615,sheep,170,154,207,182
afghan-aerial02.jpg,970,615,sheep,212,159,243,189
afghan-aerial02.jpg,970,615,sheep,243,173,281,203
afghan-aerial02.jpg,970,615,sheep,277,191,315,224
afghan-aerial02.jpg,970,615,sheep,304,178,334,206
afghan-aerial02.jpg,970,615,sheep,308,202,346,241
afghan-aerial02.jpg,970,615,sheep,339,199,370,232
afghan-aerial02.jpg,970,615,sheep,281,151,312,180
afghan-aerial02.jpg,970,615,sheep,235,124,265,161
afghan-aerial02.jpg,970,615,sheep,255,116,285,152
afghan-aerial02.jpg,970,615,sheep,270,113,303,144
afghan-aerial02.jpg,970,615,sheep,258,74,284,108
afghan-aerial02.jpg,970,615,sheep,233,62,261,96
afghan-aerial02.jpg,970,615,sheep,217,87,250,117
afghan-aerial02.jpg,970,615,sheep,319,142,351,172
afghan-aerial02.jpg,970,615,sheep,354,234,390,265
afghan-aerial02.jpg,970,615,sheep,330,247,366,276
afghan-aerial02.jpg,970,615,sheep,303,243,335,272
afghan-aerial02.jpg,970,615,sheep,313,269,356,293
afghan-aerial02.jpg,970,615,sheep,296,280,342,300
afghan-aerial02.jpg,970,615,sheep,307,300,356,318
afghan-aerial02.jpg,970,615,sheep,313,313,359,343
afghan-aerial02.jpg,970,615,sheep,339,328,383,359
afghan-aerial02.jpg,970,615,sheep,380,331,422,365
afghan-aerial02.jpg,970,615,sheep,349,274,393,303
afghan-aerial02.jpg,970,615,sheep,393,262,420,292
afghan-aerial02.jpg,970,615,sheep,385,299,425,321
afghan-aerial02.jpg,970,615,sheep,442,310,496,335
afghan-aerial02.jpg,970,615,sheep,403,327,443,353
afghan-aerial02.jpg,970,615,sheep,413,351,458,376
afghan-aerial02.jpg,970,615,sheep,438,359,488,388
afghan-aerial02.jpg,970,615,sheep,443,336,485,361
afghan-aerial02.jpg,970,615,sheep,517,357,562,391
afghan-aerial02.jpg,970,615,sheep,499,352,548,382
afghan-aerial02.jpg,970,615,sheep,502,296,546,330
afghan-aerial02.jpg,970,615,sheep,536,291,579,327
afghan-aerial02.jpg,970,615,sheep,570,339,623,383
afghan-aerial02.jpg,970,615,sheep,611,310,654,354
afghan-aerial02.jpg,970,615,sheep,599,303,641,331
afghan-aerial02.jpg,970,615,sheep,604,289,656,317
afghan-aerial02.jpg,970,615,sheep,577,273,628,306
afghan-aerial02.jpg,970,615,sheep,677,322,717,361
afghan-aerial02.jpg,970,615,sheep,683,303,728,335
afghan-aerial02.jpg,970,615,sheep,689,296,747,324
afghan-aerial02.jpg,970,615,sheep,639,295,683,331
afghan-aerial02.jpg,970,615,sheep,617,280,667,303
sheep_image (382).jpg,720,960,sheep,34,329,665,758
sheep_image (382).jpg,720,960,sheep,413,277,600,419
sheep_image (382).jpg,720,960,sheep,609,277,720,409
sheep_image (382).jpg,720,960,sheep,596,219,716,303
sheep_image (382).jpg,720,960,sheep,402,209,635,298
sheep_image (382).jpg,720,960,sheep,183,177,423,345
sheep_image (382).jpg,720,960,sheep,157,235,310,367
sheep_image (382).jpg,720,960,sheep,10,158,206,340
sheep_011.jpg,265,190,sheep,104,70,122,86
sheep_011.jpg,265,190,sheep,146,69,163,83
sheep_image (101).jpg,275,183,sheep,136,113,193,154
sheep_image (101).jpg,275,183,sheep,178,81,199,98
sheep_image (101).jpg,275,183,sheep,170,73,190,86
sheep_image (101).jpg,275,183,sheep,179,56,198,77
sheep_image (101).jpg,275,183,sheep,176,40,198,54
sheep_image (101).jpg,275,183,sheep,161,47,179,62
sheep_image (101).jpg,275,183,sheep,156,63,171,76
sheep_image (101).jpg,275,183,sheep,119,95,141,112
sheep_image (101).jpg,275,183,sheep,92,84,113,102
sheep_image (101).jpg,275,183,sheep,123,62,142,79
sheep_image (101).jpg,275,183,sheep,133,46,145,58
sheep_image (101).jpg,275,183,sheep,122,50,134,61
sheep_image (101).jpg,275,183,sheep,112,48,126,60
sheep_image (101).jpg,275,183,sheep,116,43,126,52
sheep_image (101).jpg,275,183,sheep,121,31,136,44
sheep_image (101).jpg,275,183,sheep,218,30,238,44
sheep_image (101).jpg,275,183,sheep,201,28,217,44
sheep_image (101).jpg,275,183,sheep,190,31,204,42
sheep_image (101).jpg,275,183,sheep,179,30,191,43
sheep_image (101).jpg,275,183,sheep,170,30,181,43
sheep_image (101).jpg,275,183,sheep,97,50,109,63
sheep_image (101).jpg,275,183,sheep,90,55,96,67
sheep_image (101).jpg,275,183,sheep,79,59,89,70
sheep_image (101).jpg,275,183,sheep,72,72,87,85
sheep_image (101).jpg,275,183,sheep,44,84,66,99
sheep_image (101).jpg,275,183,sheep,11,94,35,112
sheep_image (101).jpg,275,183,sheep,17,85,31,95
sheep_image (101).jpg,275,183,sheep,11,78,23,86
sheep_image (101).jpg,275,183,sheep,29,71,42,82
sheep_image (101).jpg,275,183,sheep,41,66,55,78
sheep_image (101).jpg,275,183,sheep,55,58,68,70
sheep_image (101).jpg,275,183,sheep,65,54,74,65
sheep_image (101).jpg,275,183,sheep,46,44,59,51
sheep_image (101).jpg,275,183,sheep,39,45,47,53
sheep_image (101).jpg,275,183,sheep,38,39,49,44
sheep_image (101).jpg,275,183,sheep,33,42,41,50
sheep_image (101).jpg,275,183,sheep,24,43,36,51
sheep_image (101).jpg,275,183,sheep,25,52,37,59
sheep_image (101).jpg,275,183,sheep,15,57,27,63
sheep_image (101).jpg,275,183,sheep,4,49,13,56
sheep_image (101).jpg,275,183,sheep,1,62,13,73
sheep_010.jpg,250,202,sheep,47,95,75,109
sheep_010.jpg,250,202,sheep,75,101,101,117
sheep_010.jpg,250,202,sheep,108,107,133,125
sheep_010.jpg,250,202,sheep,116,84,137,110
sheep_010.jpg,250,202,sheep,133,108,159,122
sheep_010.jpg,250,202,sheep,132,64,148,89
sheep_010.jpg,250,202,sheep,157,70,177,94
sheep_image (414).jpg,1300,1303,sheep,1040,302,1115,354
sheep_image (414).jpg,1300,1303,sheep,957,273,1040,329
sheep_image (414).jpg,1300,1303,sheep,1000,251,1070,305
sheep_image (414).jpg,1300,1303,sheep,904,242,944,291
sheep_image (414).jpg,1300,1303,sheep,850,196,928,243
sheep_image (414).jpg,1300,1303,sheep,688,143,773,203
sheep_image (414).jpg,1300,1303,sheep,674,91,755,131
sheep_image (414).jpg,1300,1303,sheep,225,83,326,129
sheep_image (414).jpg,1300,1303,sheep,270,21,384,81
sheep_image (414).jpg,1300,1303,sheep,376,434,426,499
sheep_image (414).jpg,1300,1303,sheep,864,530,944,593
sheep_image (414).jpg,1300,1303,sheep,550,524,649,590
sheep_image (414).jpg,1300,1303,sheep,667,593,722,653
sheep_image (414).jpg,1300,1303,sheep,963,676,1067,746
sheep_image (414).jpg,1300,1303,sheep,946,733,1032,794
